start time,end time,demand_kwh,unit
2023-01-01 00:00:00,2023-01-01 01:00:00,1862.57,kWh
2023-01-01 01:00:00,2023-01-01 02:00:00,1790.78,kWh
2023-01-01 02:00:00,2023-01-01 03:00:00,1792.65,kWh
2023-01-01 03:00:00,2023-01-01 04:00:00,1912.83,kWh
2023-01-01 04:00:00,2023-01-01 05:00:00,1929.69,kWh
2023-01-01 05:00:00,2023-01-01 06:00:00,1970.38,kWh
2023-01-01 06:00:00,2023-01-01 07:00:00,1893.21,kWh
2023-01-01 07:00:00,2023-01-01 08:00:00,1930.95,kWh
2023-01-01 08:00:00,2023-01-01 09:00:00,1960.83,kWh
2023-01-01 09:00:00,2023-01-01 10:00:00,2051.1,kWh
2023-01-01 10:00:00,2023-01-01 11:00:00,1847.16,kWh
2023-01-01 11:00:00,2023-01-01 12:00:00,1792.8,kWh
2023-01-01 12:00:00,2023-01-01 13:00:00,1845.35,kWh
2023-01-01 13:00:00,2023-01-01 14:00:00,1969.86,kWh
2023-01-01 14:00:00,2023-01-01 15:00:00,1898.78,kWh
2023-01-01 15:00:00,2023-01-01 16:00:00,1878.9,kWh
2023-01-01 16:00:00,2023-01-01 17:00:00,1897.95,kWh
2023-01-01 17:00:00,2023-01-01 18:00:00,1857.96,kWh
2023-01-01 18:00:00,2023-01-01 19:00:00,1968.69,kWh
2023-01-01 19:00:00,2023-01-01 20:00:00,2068.95,kWh
2023-01-01 20:00:00,2023-01-01 21:00:00,2105.55,kWh
2023-01-01 21:00:00,2023-01-01 22:00:00,2081.46,kWh
2023-01-01 22:00:00,2023-01-01 23:00:00,2010.05,kWh
2023-01-01 23:00:00,2023-01-02 00:00:00,2094.1,kWh
2023-01-02 00:00:00,2023-01-02 01:00:00,2169.41,kWh
2023-01-02 01:00:00,2023-01-02 02:00:00,2193.69,kWh
2023-01-02 02:00:00,2023-01-02 03:00:00,2137.61,kWh
2023-01-02 03:00:00,2023-01-02 04:00:00,2082.41,kWh
2023-01-02 04:00:00,2023-01-02 05:00:00,2366.05,kWh
2023-01-02 05:00:00,2023-01-02 06:00:00,3638.59,kWh
2023-01-02 06:00:00,2023-01-02 07:00:00,6620.68,kWh
2023-01-02 07:00:00,2023-01-02 08:00:00,7835.63,kWh
2023-01-02 08:00:00,2023-01-02 09:00:00,7261.8,kWh
2023-01-02 09:00:00,2023-01-02 10:00:00,7707.32,kWh
2023-01-02 10:00:00,2023-01-02 11:00:00,7218.06,kWh
2023-01-02 11:00:00,2023-01-02 12:00:00,6609.17,kWh
2023-01-02 12:00:00,2023-01-02 13:00:00,7113.16,kWh
2023-01-02 13:00:00,2023-01-02 14:00:00,7721.49,kWh
2023-01-02 14:00:00,2023-01-02 15:00:00,9031.63,kWh
2023-01-02 15:00:00,2023-01-02 16:00:00,8303.72,kWh
2023-01-02 16:00:00,2023-01-02 17:00:00,8659.92,kWh
2023-01-02 17:00:00,2023-01-02 18:00:00,8171.31,kWh
2023-01-02 18:00:00,2023-01-02 19:00:00,7831.54,kWh
2023-01-02 19:00:00,2023-01-02 20:00:00,9160.12,kWh
2023-01-02 20:00:00,2023-01-02 21:00:00,8674.41,kWh
2023-01-02 21:00:00,2023-01-02 22:00:00,8575.06,kWh
2023-01-02 22:00:00,2023-01-02 23:00:00,9075.46,kWh
2023-01-02 23:00:00,2023-01-03 00:00:00,9245.2,kWh
2023-01-03 00:00:00,2023-01-03 01:00:00,9237.54,kWh
2023-01-03 01:00:00,2023-01-03 02:00:00,9235.93,kWh
2023-01-03 02:00:00,2023-01-03 03:00:00,10176.04,kWh
2023-01-03 03:00:00,2023-01-03 04:00:00,10087.12,kWh
2023-01-03 04:00:00,2023-01-03 05:00:00,10062.14,kWh
2023-01-03 05:00:00,2023-01-03 06:00:00,9915.5,kWh
2023-01-03 06:00:00,2023-01-03 07:00:00,10484.9,kWh
2023-01-03 07:00:00,2023-01-03 08:00:00,9332.49,kWh
2023-01-03 08:00:00,2023-01-03 09:00:00,9260.2,kWh
2023-01-03 09:00:00,2023-01-03 10:00:00,10466.92,kWh
2023-01-03 10:00:00,2023-01-03 11:00:00,10688.94,kWh
2023-01-03 11:00:00,2023-01-03 12:00:00,10279.82,kWh
2023-01-03 12:00:00,2023-01-03 13:00:00,10057.79,kWh
2023-01-03 13:00:00,2023-01-03 14:00:00,10084.32,kWh
2023-01-03 14:00:00,2023-01-03 15:00:00,9372.49,kWh
2023-01-03 15:00:00,2023-01-03 16:00:00,9492.73,kWh
2023-01-03 16:00:00,2023-01-03 17:00:00,9738.19,kWh
2023-01-03 17:00:00,2023-01-03 18:00:00,9821.03,kWh
2023-01-03 18:00:00,2023-01-03 19:00:00,9666.64,kWh
2023-01-03 19:00:00,2023-01-03 20:00:00,9615.1,kWh
2023-01-03 20:00:00,2023-01-03 21:00:00,9818.38,kWh
2023-01-03 21:00:00,2023-01-03 22:00:00,10557.17,kWh
2023-01-03 22:00:00,2023-01-03 23:00:00,10324.36,kWh
2023-01-03 23:00:00,2023-01-04 00:00:00,10027.46,kWh
2023-01-04 00:00:00,2023-01-04 01:00:00,10390.83,kWh
2023-01-04 01:00:00,2023-01-04 02:00:00,10547.01,kWh
2023-01-04 02:00:00,2023-01-04 03:00:00,10488.31,kWh
2023-01-04 03:00:00,2023-01-04 04:00:00,11000.83,kWh
2023-01-04 04:00:00,2023-01-04 05:00:00,11272.43,kWh
2023-01-04 05:00:00,2023-01-04 06:00:00,11026.38,kWh
2023-01-04 06:00:00,2023-01-04 07:00:00,10997.46,kWh
2023-01-04 07:00:00,2023-01-04 08:00:00,11095.9,kWh
2023-01-04 08:00:00,2023-01-04 09:00:00,10869.64,kWh
2023-01-04 09:00:00,2023-01-04 10:00:00,10638.64,kWh
2023-01-04 10:00:00,2023-01-04 11:00:00,10780.04,kWh
2023-01-04 11:00:00,2023-01-04 12:00:00,10982.81,kWh
2023-01-04 12:00:00,2023-01-04 13:00:00,10889.48,kWh
2023-01-04 13:00:00,2023-01-04 14:00:00,10712.2,kWh
2023-01-04 14:00:00,2023-01-04 15:00:00,10848.0,kWh
2023-01-04 15:00:00,2023-01-04 16:00:00,10685.0,kWh
2023-01-04 16:00:00,2023-01-04 17:00:00,10627.47,kWh
2023-01-04 17:00:00,2023-01-04 18:00:00,10358.14,kWh
2023-01-04 18:00:00,2023-01-04 19:00:00,10187.81,kWh
2023-01-04 19:00:00,2023-01-04 20:00:00,10495.69,kWh
2023-01-04 20:00:00,2023-01-04 21:00:00,10285.54,kWh
2023-01-04 21:00:00,2023-01-04 22:00:00,10067.3,kWh
2023-01-04 22:00:00,2023-01-04 23:00:00,9878.47,kWh
2023-01-04 23:00:00,2023-01-05 00:00:00,9996.6,kWh
2023-01-05 00:00:00,2023-01-05 01:00:00,10167.25,kWh
2023-01-05 01:00:00,2023-01-05 02:00:00,10244.96,kWh
2023-01-05 02:00:00,2023-01-05 03:00:00,10219.36,kWh
2023-01-05 03:00:00,2023-01-05 04:00:00,10272.41,kWh
2023-01-05 04:00:00,2023-01-05 05:00:00,10338.43,kWh
2023-01-05 05:00:00,2023-01-05 06:00:00,10402.68,kWh
2023-01-05 06:00:00,2023-01-05 07:00:00,10783.29,kWh
2023-01-05 07:00:00,2023-01-05 08:00:00,10933.53,kWh
2023-01-05 08:00:00,2023-01-05 09:00:00,11485.5,kWh
2023-01-05 09:00:00,2023-01-05 10:00:00,11583.53,kWh
2023-01-05 10:00:00,2023-01-05 11:00:00,10822.85,kWh
2023-01-05 11:00:00,2023-01-05 12:00:00,10756.68,kWh
2023-01-05 12:00:00,2023-01-05 13:00:00,10548.5,kWh
2023-01-05 13:00:00,2023-01-05 14:00:00,10018.39,kWh
2023-01-05 14:00:00,2023-01-05 15:00:00,10002.29,kWh
2023-01-05 15:00:00,2023-01-05 16:00:00,10327.96,kWh
2023-01-05 16:00:00,2023-01-05 17:00:00,10451.41,kWh
2023-01-05 17:00:00,2023-01-05 18:00:00,10881.44,kWh
2023-01-05 18:00:00,2023-01-05 19:00:00,10730.17,kWh
2023-01-05 19:00:00,2023-01-05 20:00:00,10259.72,kWh
2023-01-05 20:00:00,2023-01-05 21:00:00,10479.86,kWh
2023-01-05 21:00:00,2023-01-05 22:00:00,10647.69,kWh
2023-01-05 22:00:00,2023-01-05 23:00:00,10958.87,kWh
2023-01-05 23:00:00,2023-01-06 00:00:00,11072.94,kWh
2023-01-06 00:00:00,2023-01-06 01:00:00,11186.33,kWh
2023-01-06 01:00:00,2023-01-06 02:00:00,10992.54,kWh
2023-01-06 02:00:00,2023-01-06 03:00:00,10724.65,kWh
2023-01-06 03:00:00,2023-01-06 04:00:00,10479.53,kWh
2023-01-06 04:00:00,2023-01-06 05:00:00,10184.0,kWh
2023-01-06 05:00:00,2023-01-06 06:00:00,10193.78,kWh
2023-01-06 06:00:00,2023-01-06 07:00:00,10155.61,kWh
2023-01-06 07:00:00,2023-01-06 08:00:00,10747.44,kWh
2023-01-06 08:00:00,2023-01-06 09:00:00,10733.23,kWh
2023-01-06 09:00:00,2023-01-06 10:00:00,10547.07,kWh
2023-01-06 10:00:00,2023-01-06 11:00:00,10227.99,kWh
2023-01-06 11:00:00,2023-01-06 12:00:00,9901.14,kWh
2023-01-06 12:00:00,2023-01-06 13:00:00,9869.89,kWh
2023-01-06 13:00:00,2023-01-06 14:00:00,9605.17,kWh
2023-01-06 14:00:00,2023-01-06 15:00:00,8684.07,kWh
2023-01-06 15:00:00,2023-01-06 16:00:00,8241.35,kWh
2023-01-06 16:00:00,2023-01-06 17:00:00,7565.72,kWh
2023-01-06 17:00:00,2023-01-06 18:00:00,8030.55,kWh
2023-01-06 18:00:00,2023-01-06 19:00:00,7968.11,kWh
2023-01-06 19:00:00,2023-01-06 20:00:00,7695.6,kWh
2023-01-06 20:00:00,2023-01-06 21:00:00,7527.53,kWh
2023-01-06 21:00:00,2023-01-06 22:00:00,7604.73,kWh
2023-01-06 22:00:00,2023-01-06 23:00:00,7289.18,kWh
2023-01-06 23:00:00,2023-01-07 00:00:00,6860.7,kWh
2023-01-07 00:00:00,2023-01-07 01:00:00,7032.0,kWh
2023-01-07 01:00:00,2023-01-07 02:00:00,7165.53,kWh
2023-01-07 02:00:00,2023-01-07 03:00:00,7320.06,kWh
2023-01-07 03:00:00,2023-01-07 04:00:00,7075.26,kWh
2023-01-07 04:00:00,2023-01-07 05:00:00,7090.52,kWh
2023-01-07 05:00:00,2023-01-07 06:00:00,7142.71,kWh
2023-01-07 06:00:00,2023-01-07 07:00:00,7119.05,kWh
2023-01-07 07:00:00,2023-01-07 08:00:00,7162.75,kWh
2023-01-07 08:00:00,2023-01-07 09:00:00,7180.73,kWh
2023-01-07 09:00:00,2023-01-07 10:00:00,7099.33,kWh
2023-01-07 10:00:00,2023-01-07 11:00:00,7047.96,kWh
2023-01-07 11:00:00,2023-01-07 12:00:00,6988.85,kWh
2023-01-07 12:00:00,2023-01-07 13:00:00,6896.52,kWh
2023-01-07 13:00:00,2023-01-07 14:00:00,6897.23,kWh
2023-01-07 14:00:00,2023-01-07 15:00:00,6980.59,kWh
2023-01-07 15:00:00,2023-01-07 16:00:00,6593.14,kWh
2023-01-07 16:00:00,2023-01-07 17:00:00,6450.14,kWh
2023-01-07 17:00:00,2023-01-07 18:00:00,6643.78,kWh
2023-01-07 18:00:00,2023-01-07 19:00:00,6660.04,kWh
2023-01-07 19:00:00,2023-01-07 20:00:00,6844.23,kWh
2023-01-07 20:00:00,2023-01-07 21:00:00,7202.11,kWh
2023-01-07 21:00:00,2023-01-07 22:00:00,7434.86,kWh
2023-01-07 22:00:00,2023-01-07 23:00:00,7634.05,kWh
2023-01-07 23:00:00,2023-01-08 00:00:00,7674.03,kWh
2023-01-08 00:00:00,2023-01-08 01:00:00,6776.26,kWh
2023-01-08 01:00:00,2023-01-08 02:00:00,6785.75,kWh
2023-01-08 02:00:00,2023-01-08 03:00:00,7217.24,kWh
2023-01-08 03:00:00,2023-01-08 04:00:00,6780.16,kWh
2023-01-08 04:00:00,2023-01-08 05:00:00,6763.54,kWh
2023-01-08 05:00:00,2023-01-08 06:00:00,7104.94,kWh
2023-01-08 06:00:00,2023-01-08 07:00:00,6369.74,kWh
2023-01-08 07:00:00,2023-01-08 08:00:00,6714.6,kWh
2023-01-08 08:00:00,2023-01-08 09:00:00,6871.67,kWh
2023-01-08 09:00:00,2023-01-08 10:00:00,6951.0,kWh
2023-01-08 10:00:00,2023-01-08 11:00:00,6937.37,kWh
2023-01-08 11:00:00,2023-01-08 12:00:00,7077.66,kWh
2023-01-08 12:00:00,2023-01-08 13:00:00,7079.7,kWh
2023-01-08 13:00:00,2023-01-08 14:00:00,6768.65,kWh
2023-01-08 14:00:00,2023-01-08 15:00:00,6728.8,kWh
2023-01-08 15:00:00,2023-01-08 16:00:00,6961.22,kWh
2023-01-08 16:00:00,2023-01-08 17:00:00,7078.42,kWh
2023-01-08 17:00:00,2023-01-08 18:00:00,7268.24,kWh
2023-01-08 18:00:00,2023-01-08 19:00:00,7417.1,kWh
2023-01-08 19:00:00,2023-01-08 20:00:00,8067.33,kWh
2023-01-08 20:00:00,2023-01-08 21:00:00,8699.92,kWh
2023-01-08 21:00:00,2023-01-08 22:00:00,10196.55,kWh
2023-01-08 22:00:00,2023-01-08 23:00:00,10029.03,kWh
2023-01-08 23:00:00,2023-01-09 00:00:00,9473.54,kWh
2023-01-09 00:00:00,2023-01-09 01:00:00,9079.45,kWh
2023-01-09 01:00:00,2023-01-09 02:00:00,9190.1,kWh
2023-01-09 02:00:00,2023-01-09 03:00:00,9669.1,kWh
2023-01-09 03:00:00,2023-01-09 04:00:00,9467.52,kWh
2023-01-09 04:00:00,2023-01-09 05:00:00,9757.23,kWh
2023-01-09 05:00:00,2023-01-09 06:00:00,10111.53,kWh
2023-01-09 06:00:00,2023-01-09 07:00:00,10094.01,kWh
2023-01-09 07:00:00,2023-01-09 08:00:00,9546.26,kWh
2023-01-09 08:00:00,2023-01-09 09:00:00,8306.79,kWh
2023-01-09 09:00:00,2023-01-09 10:00:00,8184.79,kWh
2023-01-09 10:00:00,2023-01-09 11:00:00,8456.09,kWh
2023-01-09 11:00:00,2023-01-09 12:00:00,8378.85,kWh
2023-01-09 12:00:00,2023-01-09 13:00:00,8154.03,kWh
2023-01-09 13:00:00,2023-01-09 14:00:00,7884.07,kWh
2023-01-09 14:00:00,2023-01-09 15:00:00,8010.27,kWh
2023-01-09 15:00:00,2023-01-09 16:00:00,8970.11,kWh
