parameter,level,value,base_value,lcoh,delta_lcoh,delta_pct,requires_resim
electricity_price_eur_kWh,low,0.04,0.07,3.8245872134203216,-1.9267759854240012,-33.501205171865465,False
electricity_price_eur_kWh,high,0.1,0.07,7.678139184268322,1.9267759854239994,33.501205171865436,False
capex_stack_eur_kW,low,200.0,280.0,5.621837383674246,-0.12952581517007644,-2.2520889516437306,False
capex_stack_eur_kW,high,400.0,280.0,5.945651921599436,0.19428872275511289,3.3781334274655648,False
capex_bop_eur_kW,low,200.0,270.0,5.66036416000261,-0.09099903884171301,-1.5822168709498006,False
capex_bop_eur_kW,high,350.0,270.0,5.855362100377708,0.10399890153338553,1.8082478525140449,False
discount_rate,low,0.05,0.08,5.577428327706969,-0.1739348711373534,-3.0242373003378367,False
discount_rate,high,0.12,0.08,6.009143627963339,0.2577804291190162,4.482075296006598,False
deg_rate_uV_h,low,1.0,2.0,5.678668843101934,-0.0726943557423887,-1.2639500102687982,True
deg_rate_uV_h,high,3.5,2.0,5.825928450691724,0.07456525184740137,1.296479621777051,True
T_op_C,low,70.0,80.0,5.810570694853478,0.059207496009155314,1.0294515223982454,True
T_op_C,high,90.0,80.0,5.725112213605729,-0.026250985238593927,-0.4564306640183808,True
min_load_fraction,low,0.15,0.2,5.723262000849413,-0.028101197994909732,-0.48860065037374756,True
min_load_fraction,high,0.3,0.2,5.837399618287514,0.08603641944319129,1.4959309031375279,True
P_bop_fraction,low,0.06,0.08,5.751363198844323,0.0,0.0,True
P_bop_fraction,high,0.12,0.08,5.751363198844323,0.0,0.0,True
j_nom,low,0.3,0.4,5.751363198844323,0.0,0.0,True
j_nom,high,0.5,0.4,5.751363198844323,0.0,0.0,True
