Technology,RE_pct,Size_MW,Storage_kg,LCOH,Demand_pct,SEC,Feasible
PEM,20.0,15.0,18000.0,15.001311485727934,30.586127196824577,63.14227050606537,False
PEM,40.0,25.0,24000.0,12.659281625052191,60.892469171388775,63.45940625542707,False
PEM,50.0,30.0,24000.0,12.006042056264254,75.49468272831167,63.53468538466266,False
PEM,60.0,35.0,24000.0,11.537812265007268,85.3547451686888,63.595791062636074,False
PEM,80.0,35.0,24000.0,10.308997318379571,95.24603366920326,64.2395053429772,True
PEM,100.0,35.0,12000.0,9.064517691160365,95.23373930694954,64.71619278177315,True
Alkaline,20.0,10.0,24000.0,8.782850550736114,34.8272108699281,47.0741386408832,False
Alkaline,40.0,20.0,24000.0,7.361595337554014,66.45296861623532,49.1032043540257,False
Alkaline,50.0,25.0,24000.0,7.127833064913096,79.94310874438553,49.96728938147383,False
Alkaline,60.0,25.0,24000.0,6.515476405017105,89.24537426290343,49.839514743281974,False
Alkaline,80.0,25.0,15000.0,5.563925999586017,95.23904474295608,49.88557356457198,True
Alkaline,100.0,20.0,10000.0,4.858334868569512,95.958133415821,49.065476022302455,True
